category,file,MAE,MAPE(%),MASE_lag1,MASE_lastValue,R2,RMSSE,SMAPE(%),last_value_index,last_value_value,nMAE,nRMSE
90,260429_074125/90/forecast_Wh_metrics_90d.json,[0.8699147521431827],[17.6405831264753],[1.1345820225080183],[1.3029433377604425],[-2.195468017772175],[0.8678284393533651],[15.722933496406746],"[""2025-11-30T00:00:00""]",[5.85374],[0.16472383119805314],[0.19013998830886847]
120,260429_083833/120/forecast_Wh_metrics_120d.json,[0.7645833333333336],[13.449204478384344],[0.9369738896396668],[0.7098442829876437],[-0.9957455436715252],[0.7598652386701545],[14.653967399055503],"[""2025-10-31T00:00:00""]",[6.54126],[0.13986271959590274],[0.16930072743940985]
30,260429_083833/30/forecast_Wh_metrics_30d.json,[0.7482987438360347],[13.036420607808694],[1.0467119373025229],[1.0064321525813174],[-2.2074570370495987],[0.8299200344985308],[14.292214576130421],"[""2026-01-29T00:00:00""]",[4.72749],[0.1370337930887034],[0.16268828875303454]
60,260429_083833/60/forecast_Wh_metrics_60d.json,[1.4434294382987891],[26.278921931790826],[1.9638931543686389],[1.9331601112034873],[-9.070884262817739],[1.45133483352475],[31.245323432902527],"[""2025-12-30T00:00:00""]",[4.57906],[0.2712142817127732],[0.3026020389231925]
90,260429_083833/90/forecast_Wh_metrics_90d.json,[0.6758519598341431],[13.758588094593154],[0.881476583326659],[1.0122794287701586],[-1.1037147889666823],[0.7041417099173579],[12.50532475114766],"[""2025-11-30T00:00:00""]",[5.85374],[0.1279768205704238],[0.15427645652086908]
120,260429_093130/120/forecast_Wh_metrics_120d.json,[0.6183614397897699],[11.230991094539068],[0.7577833549118322],[0.5740908985566553],[-0.2780382141937021],[0.6080732704029945],[11.627913792921781],"[""2025-10-31T00:00:00""]",[6.54126],[0.11311482855006245],[0.13548092711262413]
30,260429_093130/30/forecast_Wh_metrics_30d.json,[0.876404704165103],[15.613977120056768],[1.2259051258793845],[1.1787295919055396],[-3.144451645137754],[0.9433858616051591],[17.371896861483236],"[""2026-01-29T00:00:00""]",[4.72749],[0.160493468526846],[0.184930866925134]
60,260429_093130/60/forecast_Wh_metrics_60d.json,[1.3760986666666666],[25.18304759433717],[1.8722846295747086],[1.8429851719080985],[-7.352872690643773],[1.321757390835134],[29.18739743335762],"[""2025-12-30T00:00:00""]",[4.57906],[0.2585631147205749],[0.2755852558552194]
90,260429_093130/90/forecast_Wh_metrics_90d.json,[0.4910380336111007],[8.992171892305265],[0.6404339320953875],[0.7354683121585522],[-0.14764292858904482],[0.520079856351716],[9.296781193776575],"[""2025-11-30T00:00:00""]",[5.85374],[0.0929811409234104],[0.11394876374422179]
120,260429_103449/120/forecast_Wh_metrics_120d.json,[3.9151832203869037],[72.03574200539555],[4.797939336010296],[3.634882300827197],[-55.44584285189777],[4.041103507739041],[99.25441941513256],"[""2025-10-31T00:00:00""]",[6.54126],[0.7161916158075947],[0.9003724985703079]
30,260429_103449/30/forecast_Wh_metrics_30d.json,[0.7715553686433763],[13.452120237791124],[1.0792430447081294],[1.0377113912001616],[-2.397626421449273],[0.8541686690010372],[14.789186664496684],"[""2026-01-29T00:00:00""]",[4.72749],[0.14129271178667352],[0.1674417212378814]
60,260429_103449/60/forecast_Wh_metrics_60d.json,[0.6787157743976674],[12.132375882955552],[0.9234433133583311],[0.908992311710466],[-1.6414592934468506],[0.7432857000684854],[13.168229899511175],"[""2025-12-30T00:00:00""]",[4.57906],[0.12752782114333464],[0.15497441606698717]
90,260429_103449/90/forecast_Wh_metrics_90d.json,[1.0820824444444443],[21.45478752863534],[1.4113006881576875],[1.620724454232917],[-4.227845138217038],[1.110012827668485],[18.79933870683523],"[""2025-11-30T00:00:00""]",[5.85374],[0.20489911854225615],[0.24320224655560133]
120,260429_113222/120/forecast_Wh_metrics_120d.json,[2.341866151093504],[43.27216482427475],[2.869886565587647],[2.1742042056143878],[-18.352154025990167],[2.366184740684078],[66.05376603887802],"[""2025-10-31T00:00:00""]",[6.54126],[0.42838988837692854],[0.5271945306445825]
30,260429_113222/30/forecast_Wh_metrics_30d.json,[0.7523256918920462],[13.146359606501058],[1.0523447873317997],[1.011848238113639],[-2.1582923821116524],[0.8235348670482004],[14.385271316090693],"[""2026-01-29T00:00:00""]",[4.72749],[0.13777123648444878],[0.1614366115760599]
60,260429_113222/60/forecast_Wh_metrics_60d.json,[0.5250581800874152],[9.582300446773624],[0.7143807228528213],[0.7032013501140604],[-0.6673528943123841],[0.5905376347807257],[9.96562447769193],"[""2025-12-30T00:00:00""]",[4.57906],[0.09865620957381833],[0.12312657852463774]
90,260429_113222/90/forecast_Wh_metrics_90d.json,[0.5153968333333332],[10.18537964599833],[0.6722037764239607],[0.7719525029780911],[-0.16624644758064377],[0.5242782094129603],[9.721030240550395],"[""2025-11-30T00:00:00""]",[5.85374],[0.09759363289891351],[0.11486861698454227]
120,260429_123108/120/forecast_Wh_metrics_120d.json,[24.468817522773893],[460.1558194852938],[29.985800277968412],[22.717013924807308],[-3177.0951249529617],[30.32266998871608],[89.23239574032249],"[""2025-10-31T00:00:00""]",[6.54126],[4.4760004761168855],[6.756000703465829]
30,260429_123108/30/forecast_Wh_metrics_30d.json,[0.4742300018499385],[8.234100577440941],[0.663347637627592],[0.6378205569793876],[-0.5613188604151449],[0.5790307496951832],[8.724871802556676],"[""2026-01-29T00:00:00""]",[4.72749],[0.08684437396863968],[0.11350674509287652]
60,260429_123108/60/forecast_Wh_metrics_60d.json,[0.6561125353789886],[11.76021896157017],[0.8926899247980566],[0.8787201841678773],[-1.489874992703053],[0.7216433070736524],[12.70633652271175],"[""2025-12-30T00:00:00""]",[4.57906],[0.12328076820664365],[0.1504619961235422]
90,260429_123108/90/forecast_Wh_metrics_90d.json,[0.6794291238299431],[12.318211438038386],[0.8861420818151012],[1.01763724341225],[-1.2276973048628852],[0.7245939945472639],[13.259606513990734],"[""2025-11-30T00:00:00""]",[5.85374],[0.12865417907797894],[0.15875752326640877]
120,260429_132916/120/forecast_Wh_metrics_120d.json,[0.8650422275175855],[15.61657524764625],[1.0600832444072545],[0.803110992583657],[-1.6861063750282503],[0.881547254319095],[17.34174098958613],"[""2025-10-31T00:00:00""]",[6.54126],[0.15823933537557336],[0.19641192126334758]
